,Correlation,Excess Return,Market Volatility,Asset Volatility,Portfolio Volatility,Sharpe Ratio,Alpha,Beta
BTC,0.22289536572135177,0.1906695054866468,0.1853719228230357,0.6630272388100465,0.36357891423617567,0.5244239916586324,0.26858516722919734,0.797620853964953
CORN,0.10680706394430102,0.028098007383724984,0.1957921663319358,0.28904492531771553,0.18300993713472727,0.15353268693295022,0.019295464584154234,0.1577057113012278
CSTP,0.7161575423611057,0.024898092657500058,0.19873261357167862,0.15340594774849844,0.16332076552009286,0.15244903229673462,0.01008663153614551,0.5529128918370625
DOW,0.9605886000770064,0.030485030787708332,0.19869672364719457,0.19083291754974588,0.1928370738871158,0.1580869807511903,0.010222172959929231,0.9227309023038371
ETH,0.31786246287240866,-0.022851944070411197,0.2136625232398589,0.8749828946465302,0.4822074719679621,-0.047390273686861245,-0.18232216447797034,1.3027053765886027
EURO,-0.0013389594734284453,-0.0031594582068868483,0.19766039619404926,0.008313375285529874,0.09891201141510084,-0.03194210856381893,-0.03327936855022346,-5.6325258057636167e-05
GOLD,-0.005557376061675948,0.03590836868877554,0.19742316563055523,0.17462741302828838,0.13142246108309324,0.273228551594937,0.04804313543604363,-0.004916563362898748
HLC,0.7987712029858058,0.036207639871203436,0.19869672364719457,0.18297871692216258,0.18099991843956972,0.20004229937425108,0.02660352582677943,0.7357111270129569
NASDAQ,0.8490859545362826,0.021927522360076092,0.19869672364719457,0.27624123720653404,0.2285821828993383,0.095928396876551,-0.013700510439161068,1.1806590879584262
OIL,0.33389127364696586,0.00010503320928609977,0.20639049314038044,0.39212613910597754,0.2502020811093476,0.0004197935077933918,-0.04338186126285329,0.6345337538837847
REST,0.7630598150824651,0.04518712804057027,0.19519645998119692,0.30107023677249267,0.23368338968404975,0.19336901994474343,-0.025218029719794484,1.1771964767734404
SP500,0.9999999999999999,0.026393651110865675,0.19869672364719457,0.19869672364719457,0.19869672364719457,0.13283385164281913,-4.561640357909208e-06,1.00017283097131
T10,-0.3442232139492905,0.029170544653444715,0.1939917497431673,0.06747271839003642,0.09106891298823182,0.3203128674349524,0.008901897024842913,-0.11974835458384621
T20,-0.3599963220959822,0.032622091076701006,0.1939917497431673,0.14270706140786335,0.09755233640346841,0.33440604581502514,0.023956133029888485,-0.26487728663411486
T3,-0.28261739112996226,0.019266743694711604,0.1939917497431673,0.014273378013369937,0.09522531145316784,0.20232796722525878,-0.016463221493641027,-0.020798252313467193
USD,-0.11042156963537456,-0.0035964233295300817,0.19872767051721094,0.078507185309046,0.1027260554614034,-0.03500984549028404,-0.03233468330535877,-0.04362948238198832
VOL,-0.7275114876387623,-0.006271419918646486,0.19869672364719457,1.1263672520788408,0.49561614565883433,-0.012653784533814445,0.06993237257210286,-4.124812556738035
WHEAT,0.09366410895107666,0.02251431513265622,0.19731580566299592,0.3260084651764753,0.19828340713091627,0.11354613811831053,0.01416821771776341,0.15478104745602614
